"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 05 14:20:28 CEST 2021","Sun Sep 05 14:20:37 CEST 2021","9668","","","","","","Create a Project with no name and description",""
"passed","Sun Sep 05 14:19:43 CEST 2021","Sun Sep 05 14:20:06 CEST 2021","22311","","","","","","Create a Project with valid elements using project url",""
"passed","Sun Sep 05 14:19:19 CEST 2021","Sun Sep 05 14:19:43 CEST 2021","24598","","","","","","Create a Project with valid elements using project icon",""
"passed","Sun Sep 05 14:20:52 CEST 2021","Sun Sep 05 14:21:36 CEST 2021","44057","","","","","","Create a Simulation for a new project",""
"passed","Sun Sep 05 14:19:05 CEST 2021","Sun Sep 05 14:19:19 CEST 2021","13427","","","","","","Failure login to D3O with invalid username",""
"passed","Sun Sep 05 14:21:36 CEST 2021","Sun Sep 05 14:22:05 CEST 2021","29500","","","","","","Create a Simulation for an existing project",""
"passed","Sun Sep 05 14:20:37 CEST 2021","Sun Sep 05 14:20:52 CEST 2021","14403","","","","","","Create a Project with a name of an existing project",""
"passed","Sun Sep 05 14:18:56 CEST 2021","Sun Sep 05 14:19:05 CEST 2021","9404","","","","","","Failure login to D3O with invalid password",""
"passed","Sun Sep 05 14:20:06 CEST 2021","Sun Sep 05 14:20:28 CEST 2021","22153","","","","","","Create a Project with only project name",""
"passed","Sun Sep 05 14:18:47 CEST 2021","Sun Sep 05 14:18:56 CEST 2021","9018","","","","","","Successful login to D3O with valid parameters",""
